nameGiven,starting_age,ending_age,career_length
Nicholas,22,157,135
James Henry,22,154,132
Walter Arlington,20,149,129
James Thomas,21,149,128
Hugh Ambrose,22,149,127
Dennis Joseph,21,146,125
William J.,22,146,124
John Bernard,21,145,124
Roderick John,21,145,124
John Joseph,21,144,123
Clark Calvin,22,145,123
Harry H.,22,144,122
Fred Clifford,22,143,121
Henry Clement,22,143,121
Samuel Luther,25,146,121
Denton True,23,144,121
John Peter,23,143,120
Lafayette Napoleon,21,141,120
William Frederick,21,141,120
William Edward,22,142,120
Thomas William,21,141,120
Napoleon,22,142,120
Frederick Lovett,25,144,119
Fielder Allison,25,144,119
Thomas Peter,18,137,119
George Stacey,20,139,119
James Joseph,20,139,119
Jacob Peter,21,140,119
Charles Louis,24,143,119
Frank S.,22,141,119
Joseph,23,142,119
James P.,22,140,118
James Robert,25,143,118
Roger Philip,18,136,118
Samuel Earl,19,137,118
Hugh,22,140,118
William Henry,20,138,118
William Frederick,21,139,118
Francis Isaiah,21,139,118
Charles Andrew,22,139,117
Joseph James,20,137,117
Patrick Joseph,25,142,117
Thomas William,21,138,117
Albert Joseph,19,136,117
Robert Lincoln,25,142,117
Joseph J.,20,137,117
James Bentley,24,141,117
William Joseph,24,141,117
Jesse Niles,20,137,117
Frederick,23,140,117
Samuel James Tilden,19,135,116
George Edward Martin,21,137,116
Wilbert,22,138,116
Charles Augustus,21,137,116
John J.,20,136,116
Charles Carbitt,22,138,116
Frank Leroy,22,138,116
John Joseph,20,136,116
Louis,24,140,116
William Joseph,21,137,116
Malachi Jeddidah,21,137,116
Norman Arthur,23,139,116
John Frank,20,136,116
William Wilson,21,136,115
William Franklin,21,136,115
Jesse Cail,22,137,115
Montford Montgomery,23,138,115
Edward James,21,136,115
Michael Joseph,21,136,115
John Joseph,23,138,115
Herman C.,23,138,115
John Joseph,18,133,115
Edward William,19,134,115
William Frederick,21,136,115
Elmer Ellsworth,18,133,115
August,21,135,114
Harry Sterling,25,139,114
John Arthur,24,138,114
Albert Lewis,23,137,114
Elmer Ellsworth,22,136,114
Frank Eugene,27,141,114
John Joseph,21,135,114
Alexander M.,20,134,114
Michael Joseph,22,136,114
William Ellsworth,26,140,114
Tully Frederick,24,137,113
William Robert,22,135,113
Charles Carrolton,23,136,113
Edward James,20,133,113
William Edward,23,136,113
Francis L.,20,133,113
Clarence Lemuel,21,134,113
William Frederick,21,134,113
Joshua Baldwin,19,132,113
James Joseph,25,138,113
William Corcoran,22,135,113
John Reed,21,134,113
George Edward,21,134,113
John Joseph,23,136,113
Thomas Frank,23,136,113
Harry M.,21,134,113
Oliver Wendell,23,136,113
Roy Allen,25,137,112
Samuel Nicklin,20,132,112
Joseph Bernard,16,128,112
Albert Karl,22,134,112
Amos Wilson,18,130,112
Victor Gazaway,22,134,112
Dennis Lawrence,25,137,112
Samuel,27,139,112
Charles Louis,27,139,112
Oliver Daniel,26,138,112
Claude Cassius,24,136,112
Alfred Joseph,24,136,112
William Jones,25,137,112
Duff Gordon,20,132,112
Frank Henry,25,137,112
Walter Scott,22,134,112
Patrick Joseph,23,135,112
Elmer Harrison,22,134,112
Michael William,25,137,112
Harry Taylor,22,134,112
Charles Judson,23,135,112
George Joseph,23,135,112
William Park,25,136,111
Charles Taylor,21,132,111
Rudolph Edward,22,133,111
William Frank,23,134,111
Clarence Howeth,23,134,111
Timothy Cornelius,21,132,111
William Henry,22,133,111
Patrick Henry,23,134,111
Morgan Edward,23,134,111
John Joseph,19,130,111
Michael Riley,28,139,111
John,24,135,111
Freeman Osee,22,133,111
Frederick M.,24,135,111
Frank Harry,24,135,111
James Thomas,23,133,110
Joseph Francis,23,133,110
Samuel Blair,24,134,110
John Auchanbolt,21,131,110
Patrick F.,23,133,110
Patrick Henry,23,133,110
Thomas Jefferson,22,132,110
Eugene Napoleon,21,131,110
Joseph Francis,21,131,110
John Dwight,25,135,110
Wilfred,19,129,110
Robert Gilman,23,133,110
Theodore P.,22,132,110
James William,26,136,110
R Emmet,22,132,110
John Henry,24,134,110
C. Frank,26,135,109
Lorenzo Edward,21,130,109
Emerson Pink,20,129,109
Marion Edward,24,133,109
Charles Edwin,24,133,109
James Ulysses,22,131,109
Frank Bissell,21,130,109
Frank R.,29,138,109
Herbert Theodore,21,130,109
Frank J.,25,134,109
James Erigena,24,133,109
John C.,21,130,109
James Patrick,28,137,109
Joseph Aloysius,20,129,109
William Paul,21,130,109
George Joseph,23,132,109
John J.,21,130,109
William James,24,133,109
Samuel Morrison,26,135,109
Richard Joseph,26,135,109
William Joseph,21,130,109
Joseph Jerome,28,137,109
George Jouett,24,133,109
William Lucas,22,131,109
John S.,22,131,109
David William Tilden,28,137,109
Ralph Orlando,29,138,109
Charles Sylvester,24,133,109
James Franklin,26,135,109
John William,23,132,109
John William,25,134,109
Judson Grant,24,132,108
George Barclay,20,128,108
Thomas Livingston,21,129,108
Harley Park,21,129,108
William Joseph,23,131,108
William Joseph,23,131,108
William Bingham,24,132,108
Edward Richard,22,130,108
George C.,25,133,108
William Henry,28,136,108
Frederick William Alexander,23,131,108
Thomas Joseph,28,136,108
Frank Elmer,23,131,108
