nameGiven,starting_year,starting_team,ending_year,ending_team
Ronald Joseph,1986,CHA,1997,CHA
Thomas Alan,1987,SLN,1998,SLN
David Michael,1990,PHI,2002,PHI
Ellis Rena,1987,BOS,2004,BOS
Barry Louis,1986,CIN,2004,CIN
Raymond Lewis,1990,SLN,2004,SLN
Patrick George,1991,TOR,2004,TOR
Brad William,1995,MIN,2006,MIN
Bernabe,1991,NYA,2006,NYA
Samuel Peralta,1989,TEX,2007,TEX
Thomas Michael,1987,ATL,2008,ATL
Richard Santo,1995,SFN,2009,SFN
George Kenneth,1989,SEA,2010,SEA
Larry Wayne,1993,ATL,2012,ATL
Kerry Lee,1998,CHN,2012,CHN
Todd Lynn,1997,COL,2013,COL
Andrew Eugene,1995,NYA,2013,NYA
Mariano,1995,NYA,2013,NYA
Chase Cameron,2003,PHI,2014,PHI
