birthdate,players
1980-01-03,Bradley Keith
1980-01-10,Matthew Stephen
1980-01-12,Robert Edward
1980-01-15,"Jeffrey Darrin, Matthew Thomas"
1980-01-16,"Brooks Litchfield, Jose Alberto"
1980-01-17,"Michael Gregory, Thomas Joseph"
1980-01-20,"Franklyn Miguel, Luis"
1980-01-25,Phillip Matthew
1980-01-26,"Antonio Miguel, Brandon Edward"
1980-02-01,Hector R.
1980-02-03,Jared Michael
1980-02-04,"Douglas, Stephen John"
1980-02-07,Brad Martin
1980-02-10,Cesar David
1980-02-11,Matthew Raymond
1980-02-12,Adam James
1980-02-13,Drew Daniel
1980-02-15,Donald Thomas
1980-02-18,Walter Ernest
1980-02-20,Ryan David
1980-02-22,Ramon A.
1980-02-26,Gary Wayne
1980-02-27,John Duane
1980-03-01,James Micah
1980-03-04,John Joseph
1980-03-07,Scott Michael
1980-03-11,"Christopher Allen, Daniel Cooley, Richard Joseph"
1980-03-13,Byron Earl
1980-03-15,Freddie Lee
1980-03-25,Neal James
1980-03-31,Chien-Ming
1980-04-03,Justin Barnett
1980-04-07,Vincent Antonio
1980-04-09,Ryan Joseph
1980-04-11,Mark Charles
1980-04-12,Daniel Joseph
1980-04-13,Joselo Soriano
1980-04-14,John Wesley
1980-04-15,Yoel Alejandro
1980-04-17,Maxim Joseph
1980-04-20,Christopher Ellis
1980-04-21,Jeffrey Scott
1980-04-22,Carlos Enrique
1980-04-25,"Kazuhito, Michael Gregory"
1980-04-26,Michael Burton
1980-04-29,Kelly Brian
1980-04-30,Mark Edison
1980-05-05,Chad Robert
1980-05-08,Jason Thomas
1980-05-10,Craig Walter
1980-05-11,Roy Elliot
1980-05-12,Felipe
1980-05-15,Joshua Patrick
1980-05-18,"Juan Ramon, Luis Enrique"
1980-05-20,Austin Ryan
1980-05-22,"Chad Austin, Ruddy Joraider"
1980-05-24,Justin Michael
1980-05-25,Scott Alexander
1980-05-26,Sean Reed
1980-05-29,Cha-Seung
1980-05-30,Mark Winston
1980-06-06,Matthew Thomas
1980-06-09,Michael Eugene
1980-06-10,David Jeffrey
1980-06-11,Yhency Jose
1980-06-15,Erik Floyd
1980-06-16,Dewon Cortez
1980-06-18,Thomas Gray
1980-06-21,Sendy
1980-06-22,Luis Alberto
1980-06-24,Douglas Howell
1980-06-26,Christopher Bob
