teamID,yearID,cumulative_sum_millions
ANA,1997,31
ANA,1998,72
ANA,1999,127
ANA,2000,179
ANA,2001,226
ANA,2002,288
ANA,2003,367
ANA,2004,468
ARI,1998,32
ARI,1999,101
ARI,2000,182
ARI,2001,267
ARI,2002,369
ARI,2003,450
ARI,2004,520
ARI,2005,582
ARI,2006,642
ARI,2007,694
ARI,2008,760
ARI,2009,833
ARI,2010,894
ARI,2011,948
ARI,2012,1021
ARI,2013,1112
ARI,2014,1209
ATL,1985,14
ATL,1986,31
ATL,1987,48
ATL,1988,61
ATL,1989,72
ATL,1990,86
ATL,1991,105
ATL,1992,139
ATL,1993,181
ATL,1994,230
ATL,1995,278
ATL,1996,327
ATL,1997,380
ATL,1998,441
ATL,1999,514
ATL,2000,598
ATL,2001,690
ATL,2002,783
ATL,2003,890
ATL,2004,980
ATL,2005,1066
ATL,2006,1156
ATL,2007,1244
ATL,2008,1346
ATL,2009,1443
ATL,2010,1527
ATL,2011,1614
ATL,2012,1697
ATL,2013,1785
ATL,2014,1882
BAL,1985,11
BAL,1986,24
BAL,1987,38
BAL,1988,51
BAL,1989,60
BAL,1990,69
BAL,1991,87
BAL,1992,111
BAL,1993,140
BAL,1994,179
BAL,1995,223
BAL,1996,277
BAL,1997,336
BAL,1998,408
BAL,1999,489
BAL,2000,570
BAL,2001,638
BAL,2002,698
BAL,2003,772
BAL,2004,824
BAL,2005,898
BAL,2006,970
BAL,2007,1063
BAL,2008,1131
BAL,2009,1198
BAL,2010,1279
BAL,2011,1365
BAL,2012,1442
BAL,2013,1526
BAL,2014,1630
BOS,1985,10
BOS,1986,25
BOS,1987,35
BOS,1988,49
BOS,1989,66
BOS,1990,87
BOS,1991,122
BOS,1992,166
BOS,1993,203
BOS,1994,241
BOS,1995,273
BOS,1996,315
BOS,1997,359
BOS,1998,416
BOS,1999,479
BOS,2000,557
BOS,2001,667
BOS,2002,776
BOS,2003,876
BOS,2004,1003
BOS,2005,1126
BOS,2006,1246
BOS,2007,1390
BOS,2008,1523
BOS,2009,1644
BOS,2010,1807
BOS,2011,1968
BOS,2012,2142
BOS,2013,2293
BOS,2014,2432
CAL,1985,14
CAL,1986,28
CAL,1987,41
CAL,1988,53
CAL,1989,68
CAL,1990,90
CAL,1991,123
CAL,1992,158
CAL,1993,186
CAL,1994,212
CAL,1995,243
CAL,1996,271
CHA,1985,9
CHA,1986,20
CHA,1987,30
CHA,1988,37
CHA,1989,44
CHA,1990,54
CHA,1991,70
CHA,1992,101
CHA,1993,140
CHA,1994,180
CHA,1995,226
CHA,1996,272
CHA,1997,329
CHA,1998,368
CHA,1999,393
CHA,2000,424
CHA,2001,490
CHA,2002,547
CHA,2003,598
CHA,2004,663
CHA,2005,739
CHA,2006,841
CHA,2007,950
CHA,2008,1071
CHA,2009,1167
CHA,2010,1273
CHA,2011,1401
CHA,2012,1497
CHA,2013,1618
CHA,2014,1699
CHN,1985,12
CHN,1986,29
CHN,1987,44
CHN,1988,57
CHN,1989,68
CHN,1990,81
CHN,1991,104
CHN,1992,134
CHN,1993,174
CHN,1994,210
CHN,1995,239
CHN,1996,272
CHN,1997,315
CHN,1998,365
CHN,1999,428
CHN,2000,488
CHN,2001,553
CHN,2002,629
CHN,2003,709
CHN,2004,799
CHN,2005,886
CHN,2006,981
CHN,2007,1080
CHN,2008,1199
CHN,2009,1333
CHN,2010,1480
CHN,2011,1605
CHN,2012,1693
CHN,2013,1794
CHN,2014,1859
CIN,1985,8
CIN,1986,20
CIN,1987,29
CIN,1988,38
CIN,1989,49
CIN,1990,63
CIN,1991,90
CIN,1992,126
CIN,1993,170
CIN,1994,211
CIN,1995,255
CIN,1996,297
CIN,1997,347
CIN,1998,370
CIN,1999,404
CIN,2000,451
CIN,2001,500
CIN,2002,545
CIN,2003,604
CIN,2004,651
CIN,2005,713
CIN,2006,774
CIN,2007,842
CIN,2008,916
CIN,2009,990
CIN,2010,1062
CIN,2011,1137
CIN,2012,1220
CIN,2013,1326
CIN,2014,1434
CLE,1985,6
CLE,1986,14
CLE,1987,22
CLE,1988,31
CLE,1989,40
CLE,1990,55
CLE,1991,73
CLE,1992,82
CLE,1993,100
CLE,1994,131
CLE,1995,169
CLE,1996,217
CLE,1997,274
CLE,1998,335
CLE,1999,408
CLE,2000,483
CLE,2001,577
CLE,2002,656
CLE,2003,704
CLE,2004,738
CLE,2005,780
CLE,2006,836
CLE,2007,898
CLE,2008,977
CLE,2009,1058
CLE,2010,1119
CLE,2011,1168
CLE,2012,1247
CLE,2013,1322
CLE,2014,1405
COL,1993,10
COL,1994,34
COL,1995,68
COL,1996,108
COL,1997,152
COL,1998,202
COL,1999,264
COL,2000,325
COL,2001,397
COL,2002,454
COL,2003,521
COL,2004,586
COL,2005,634
COL,2006,675
COL,2007,729
COL,2008,798
COL,2009,873
COL,2010,957
COL,2011,1046
COL,2012,1124
COL,2013,1198
COL,2014,1293
DET,1985,10
DET,1986,22
DET,1987,34
DET,1988,47
DET,1989,62
DET,1990,80
DET,1991,104
DET,1992,131
DET,1993,169
DET,1994,211
DET,1995,248
DET,1996,271
DET,1997,288
DET,1998,312
DET,1999,349
DET,2000,407
DET,2001,461
DET,2002,516
DET,2003,565
DET,2004,612
DET,2005,681
DET,2006,763
DET,2007,858
DET,2008,996
DET,2009,1111
DET,2010,1234
DET,2011,1340
DET,2012,1472
DET,2013,1618
DET,2014,1771
FLO,1993,19
FLO,1994,40
FLO,1995,65
FLO,1996,96
FLO,1997,145
FLO,1998,186
FLO,1999,207
FLO,2000,227
FLO,2001,263
FLO,2002,305
FLO,2003,354
FLO,2004,396
FLO,2005,457
FLO,2006,471
FLO,2007,502
FLO,2008,524
FLO,2009,561
FLO,2010,618
FLO,2011,675
HOU,1985,9
HOU,1986,19
HOU,1987,32
HOU,1988,44
HOU,1989,59
HOU,1990,78
HOU,1991,90
HOU,1992,106
HOU,1993,136
HOU,1994,169
HOU,1995,203
HOU,1996,232
HOU,1997,267
HOU,1998,309
HOU,1999,364
HOU,2000,415
HOU,2001,476
HOU,2002,539
HOU,2003,610
HOU,2004,686
HOU,2005,763
HOU,2006,851
HOU,2007,939
HOU,2008,1028
HOU,2009,1131
HOU,2010,1223
HOU,2011,1294
HOU,2012,1355
HOU,2013,1372
HOU,2014,1408
KCA,1985,9
KCA,1986,22
KCA,1987,34
KCA,1988,48
KCA,1989,67
KCA,1990,90
KCA,1991,117
KCA,1992,151
KCA,1993,192
KCA,1994,232
KCA,1995,262
KCA,1996,282
KCA,1997,317
KCA,1998,354
KCA,1999,380
KCA,2000,403
KCA,2001,439
KCA,2002,486
KCA,2003,527
KCA,2004,574
KCA,2005,611
KCA,2006,658
KCA,2007,725
KCA,2008,784
KCA,2009,854
KCA,2010,926
KCA,2011,961
KCA,2012,1022
KCA,2013,1102
KCA,2014,1177
LAA,2005,94
LAA,2006,198
LAA,2007,307
LAA,2008,426
LAA,2009,540
LAA,2010,645
LAA,2011,784
LAA,2012,938
LAA,2013,1062
LAA,2014,1184
LAN,1985,10
LAN,1986,25
LAN,1987,39
LAN,1988,56
LAN,1989,77
LAN,1990,98
LAN,1991,131
LAN,1992,176
LAN,1993,215
LAN,1994,253
LAN,1995,292
LAN,1996,328
LAN,1997,373
